die_size,sheet_size,number_out,die_number,flat_size,seal_flap_size
,,,,,
,,,,,
#10 Policy - 4 1/8 x 9 1/2 OE,9 5/8 X 12 5/8,1,# 181,9 1/8 X 12 1/8,1 5/8
#10 Policy - 4 1/8 x 9 1/2 OE,11 X 17 ,1,# 181,9 1/8 X 12 1/8,1 5/8
#10 Policy - 4 1/8 x 9 1/2 OE,17 1/2 X 22 1/2,1,# 181,9 1/8 X 12 1/8,1 5/8
#10 Policy - 4 1/8 x 9 1/2 OE,19 X 25,4,# 181,9 1/8 X 12 1/8,1 5/8
#10 Policy - 4 1/8 x 9 1/2 OE,23 X 29,4,# 181,9 1/8 X 12 1/8,1 5/8
#10 Policy - 4 1/8 x 9 1/2 OE,23 X 35,4,# 181,9 1/8 X 12 1/8,1 5/8
#10 Policy - 4 1/8 x 9 1/2 OE,25 X 38,6,# 181,9 1/8 X 12 1/8,1 5/8
#10 Policy - 4 1/8 x 9 1/2 OE,28 X 40,6,# 181,9 1/8 X 12 1/8,1 5/8
,,,,,
,,,,,
#10 Policy - 4 1/8 x 9 1/2 OE,9 7/8 X 12 3/8,1,# 68,9 3/8 X 11 7/8,1 1/2
#10 Policy - 4 1/8 x 9 1/2 OE,11 X 17 ,1,# 68,9 3/8 X 11 7/8,1 1/2
#10 Policy - 4 1/8 x 9 1/2 OE,17 1/2 X 22 1/2,1,# 68,9 3/8 X 11 7/8,1 1/2
#10 Policy - 4 1/8 x 9 1/2 OE,19 X 25,2,# 68,9 3/8 X 11 7/8,1 1/2
#10 Policy - 4 1/8 x 9 1/2 OE,23 X 29,4,# 68,9 3/8 X 11 7/8,1 1/2
#10 Policy - 4 1/8 x 9 1/2 OE,23 X 35,4,# 68,9 3/8 X 11 7/8,1 1/2
#10 Policy - 4 1/8 x 9 1/2 OE,25 X 38,6,# 68,9 3/8 X 11 7/8,1 1/2
#10 Policy - 4 1/8 x 9 1/2 OE,28 X 40,6,# 68,9 3/8 X 11 7/8,1 1/2
,,,,,
,,,,,
#10 Policy - 4 1/8 x 9 1/2 OE,9 1/4 X 12 13/16,1,# 69,8 3/4 X 12 5/16,2
#10 Policy - 4 1/8 x 9 1/2 OE,11 X 17 ,1,# 69,8 3/4 X 12 5/16,2
#10 Policy - 4 1/8 x 9 1/2 OE,17 1/2 X 22 1/2,2,# 69,8 3/4 X 12 5/16,2
#10 Policy - 4 1/8 x 9 1/2 OE,19 X 25,2,# 69,8 3/4 X 12 5/16,2
#10 Policy - 4 1/8 x 9 1/2 OE,23 X 29,4,# 69,8 3/4 X 12 5/16,2
#10 Policy - 4 1/8 x 9 1/2 OE,23 X 35,4,# 69,8 3/4 X 12 5/16,2
#10 Policy - 4 1/8 x 9 1/2 OE,25 X 38,6,# 69,8 3/4 X 12 5/16,2
#10 Policy - 4 1/8 x 9 1/2 OE,28 X 40,9,# 69,8 3/4 X 12 5/16,2
,,,,,
,,,,,
4 3/8 x 9 1/2 OE,12 15/16 X 12 11/16,1,# 360,12 7/16 X 12 3/16,1 15/16
4 3/8 x 9 1/2 OE,11 X 17 ,0,# 360,12 7/16 X 12 3/16,1 15/16
4 3/8 x 9 1/2 OE,17 1/2 X 22 1/2,1,# 360,12 7/16 X 12 3/16,1 15/16
4 3/8 x 9 1/2 OE,19 X 25,2,# 360,12 7/16 X 12 3/16,1 15/16
4 3/8 x 9 1/2 OE,23 X 29,2,# 360,12 7/16 X 12 3/16,1 15/16
4 3/8 x 9 1/2 OE,23 X 35,2,# 360,12 7/16 X 12 3/16,1 15/16
4 3/8 x 9 1/2 OE,25 X 38,3,# 360,12 7/16 X 12 3/16,1 15/16
4 3/8 x 9 1/2 OE,28 X 40,6,# 360,12 7/16 X 12 3/16,1 15/16
,,,,,
,,,,,
4 1/4 x 7 1/2 OE,9 7/8 X 10 3/8,1,# 251,9 3/8 X 9 7/8,1 1/2
4 1/4 x 7 1/2 OE,11 X 17 ,1,# 251,9 3/8 X 9 7/8,1 1/2
4 1/4 x 7 1/2 OE,17 1/2 X 22 1/2,2,# 251,9 3/8 X 9 7/8,1 1/2
4 1/4 x 7 1/2 OE,19 X 25,4,# 251,9 3/8 X 9 7/8,1 1/2
4 1/4 x 7 1/2 OE,23 X 29,4,# 251,9 3/8 X 9 7/8,1 1/2
4 1/4 x 7 1/2 OE,23 X 35,6,# 251,9 3/8 X 9 7/8,1 1/2
4 1/4 x 7 1/2 OE,25 X 38,6,# 251,9 3/8 X 9 7/8,1 1/2
4 1/4 x 7 1/2 OE,28 X 40,6,# 251,9 3/8 X 9 7/8,1 1/2
,,,,,
,,,,,
4 5/16 x 7 OE,9 7/8 X 10 3/16,1,# 112 - N,9 3/8 X 9 11/16,1 11/16
4 5/16 x 7 OE,11 X 17 ,1,# 112 - N,9 3/8 X 9 11/16,1 11/16
4 5/16 x 7 OE,17 1/2 X 22 1/2,2,# 112 - N,9 3/8 X 9 11/16,1 11/16
4 5/16 x 7 OE,19 X 25,2,# 112 - N,9 3/8 X 9 11/16,1 11/16
4 5/16 x 7 OE,23 X 29,4,# 112 - N,9 3/8 X 9 11/16,1 11/16
4 5/16 x 7 OE,23 X 35,6,# 112 - N,9 3/8 X 9 11/16,1 11/16
4 5/16 x 7 OE,25 X 38,6,# 112 - N,9 3/8 X 9 11/16,1 11/16
4 5/16 x 7 OE,28 X 40,6,# 112 - N,9 3/8 X 9 11/16,1 11/16
,,,,,
,,,,,
4 1/2 x 7 OE,10 1/8 X 10 7/16,1,# 288,9 5/8 X 9 15/16,2
4 1/2 x 7 OE,11 X 17 ,1,# 288,9 5/8 X 9 15/16,2
4 1/2 x 7 OE,17 1/2 X 22 1/2,2,# 288,9 5/8 X 9 15/16,2
4 1/2 x 7 OE,19 X 25,2,# 288,9 5/8 X 9 15/16,2
4 1/2 x 7 OE,23 X 29,4,# 288,9 5/8 X 9 15/16,2
4 1/2 x 7 OE,23 X 35,6,# 288,9 5/8 X 9 15/16,2
4 1/2 x 7 OE,25 X 38,6,# 288,9 5/8 X 9 15/16,2
4 1/2 x 7 OE,28 X 40,6,# 288,9 5/8 X 9 15/16,2
,,,,,
,,,,,
4 1/2 x 10 3/8 OE,10 X 13 5/8,1,# 271,9 1/2 X 13 1/8,2
4 1/2 x 10 3/8 OE,11 X 17 ,1,# 271,9 1/2 X 13 1/8,2
4 1/2 x 10 3/8 OE,17 1/2 X 22 1/2,1,# 271,9 1/2 X 13 1/8,2
4 1/2 x 10 3/8 OE,19 X 25,1,# 271,9 1/2 X 13 1/8,2
4 1/2 x 10 3/8 OE,23 X 29,4,# 271,9 1/2 X 13 1/8,2
4 1/2 x 10 3/8 OE,23 X 35,4,# 271,9 1/2 X 13 1/8,2
4 1/2 x 10 3/8 OE,25 X 38,4,# 271,9 1/2 X 13 1/8,2
4 1/2 x 10 3/8 OE,28 X 40,4,# 271,9 1/2 X 13 1/8,2
,,,,,
,,,,,
5 x 11 1/2  OE,11 X 15 1/2,1,# 240,10 1/2 X 15,2 1/2
5 x 11 1/2  OE,11 X 17 ,1,# 240,10 1/2 X 15,2 1/2
5 x 11 1/2  OE,17 1/2 X 22 1/2,1,# 240,10 1/2 X 15,2 1/2
5 x 11 1/2  OE,19 X 25,1,# 240,10 1/2 X 15,2 1/2
5 x 11 1/2  OE,23 X 29,2,# 240,10 1/2 X 15,2 1/2
5 x 11 1/2  OE,23 X 35,4,# 240,10 1/2 X 15,2 1/2
5 x 11 1/2  OE,25 X 38,4,# 240,10 1/2 X 15,2 1/2
5 x 11 1/2  OE,28 X 40,4,# 240,10 1/2 X 15,2 1/2
,,,,,
,,,,,
5 x 13 3/4  OE,12 1/4 X 16 1/2,1,# 310,10 3/4 X 16,1 1/4
5 x 13 3/4  OE,11 X 17 ,0,# 310,10 3/4 X 16,1 1/4
5 x 13 3/4  OE,17 1/2 X 22 1/2,1,# 310,10 3/4 X 16,1 1/4
5 x 13 3/4  OE,19 X 25,1,# 310,10 3/4 X 16,1 1/4
5 x 13 3/4  OE,23 X 29,2,# 310,10 3/4 X 16,1 1/4
5 x 13 3/4  OE,23 X 35,4,# 310,10 3/4 X 16,1 1/4
5 x 13 3/4  OE,25 X 38,4,# 310,10 3/4 X 16,1 1/4
5 x 13 3/4  OE,28 X 40,4,# 310,10 3/4 X 16,1 1/4
,,,,,
,,,,,
5 1/4 x 10 1/2  OE,12 X 13 3/4,1,# 224,11 1/2 X 13 1/4,1 3/4
5 1/4 x 10 1/2  OE,11 X 17 ,0,# 224,11 1/2 X 13 1/4,1 3/4
5 1/4 x 10 1/2  OE,17 1/2 X 22 1/2,1,# 224,11 1/2 X 13 1/4,1 3/4
5 1/4 x 10 1/2  OE,19 X 25,1,# 224,11 1/2 X 13 1/4,1 3/4
5 1/4 x 10 1/2  OE,23 X 29,2,# 224,11 1/2 X 13 1/4,1 3/4
5 1/4 x 10 1/2  OE,23 X 35,2,# 224,11 1/2 X 13 1/4,1 3/4
5 1/4 x 10 1/2  OE,25 X 38,4,# 224,11 1/2 X 13 1/4,1 3/4
5 1/4 x 10 1/2  OE,28 X 40,4,# 224,11 1/2 X 13 1/4,1 3/4
,,,,,
,,,,,
5 1/2 x 8 1/4  OE,12 1/8 X 11 3/8,1,# 237,11 5/8 X 10 7/8,1 3/4
5 1/2 x 8 1/4  OE,11 X 17 ,0,# 237,11 5/8 X 10 7/8,1 3/4
5 1/2 x 8 1/4  OE,17 1/2 X 22 1/2,2,# 237,11 5/8 X 10 7/8,1 3/4
5 1/2 x 8 1/4  OE,19 X 25,2,# 237,11 5/8 X 10 7/8,1 3/4
5 1/2 x 8 1/4  OE,23 X 29,2,# 237,11 5/8 X 10 7/8,1 3/4
5 1/2 x 8 1/4  OE,23 X 35,3,# 237,11 5/8 X 10 7/8,1 3/4
5 1/2 x 8 1/4  OE,25 X 38,6,# 237,11 5/8 X 10 7/8,1 3/4
5 1/2 x 8 1/4  OE,28 X 40,6,# 237,11 5/8 X 10 7/8,1 3/4
,,,,,
,,,,,
5 1/2 x 8 1/2  OE,12 X 11 5/8,1,# 226,11 1/2 X 11 1/8,1 3/4
5 1/2 x 8 1/2  OE,11 X 17 ,0,# 226,11 1/2 X 11 1/8,1 3/4
5 1/2 x 8 1/2  OE,17 1/2 X 22 1/2,1,# 226,11 1/2 X 11 1/8,1 3/4
5 1/2 x 8 1/2  OE,19 X 25,2,# 226,11 1/2 X 11 1/8,1 3/4
5 1/2 x 8 1/2  OE,23 X 29,4,# 226,11 1/2 X 11 1/8,1 3/4
5 1/2 x 8 1/2  OE,23 X 35,6,# 226,11 1/2 X 11 1/8,1 3/4
5 1/2 x 8 1/2  OE,25 X 38,6,# 226,11 1/2 X 11 1/8,1 3/4
5 1/2 x 8 1/2  OE,28 X 40,6,# 226,11 1/2 X 11 1/8,1 3/4
,,,,,
,,,,,
5 1/2 x 11  OE,12 1/4 X 15,1,# 309,11 3/4 X 14 1/2,2 1/2
5 1/2 x 11  OE,11 X 17 ,0,# 309,11 3/4 X 14 1/2,2 1/2
5 1/2 x 11  OE,17 1/2 X 22 1/2,1,# 309,11 3/4 X 14 1/2,2 1/2
5 1/2 x 11  OE,19 X 25,1,# 309,11 3/4 X 14 1/2,2 1/2
5 1/2 x 11  OE,23 X 29,1,# 309,11 3/4 X 14 1/2,2 1/2
5 1/2 x 11  OE,23 X 35,2,# 309,11 3/4 X 14 1/2,2 1/2
5 1/2 x 11  OE,25 X 38,4,# 309,11 3/4 X 14 1/2,2 1/2
5 1/2 x 11  OE,28 X 40,4,# 309,11 3/4 X 14 1/2,2 1/2
,,,,,
,,,,,
5 1/2 x 11 1/2  OE,12 1/8 X 15 1/2,1,# 239,11 5/8 X 15,2 1/2
5 1/2 x 11 1/2  OE,11 X 17 ,0,# 239,11 5/8 X 15,2 1/2
5 1/2 x 11 1/2  OE,17 1/2 X 22 1/2,1,# 239,11 5/8 X 15,2 1/2
5 1/2 x 11 1/2  OE,19 X 25,2,# 239,11 5/8 X 15,2 1/2
5 1/2 x 11 1/2  OE,23 X 29,4,# 239,11 5/8 X 15,2 1/2
5 1/2 x 11 1/2  OE,23 X 35,6,# 239,11 5/8 X 15,2 1/2
5 1/2 x 11 1/2  OE,25 X 38,6,# 239,11 5/8 X 15,2 1/2
5 1/2 x 11 1/2  OE,28 X 40,6,# 239,11 5/8 X 15,2 1/2
,,,,,
,,,,,
5 1/2 x 13  OE,12 1/4 X 17 3/4,1,# 319,11 3/4 X 17 1/4,3
5 1/2 x 13  OE,11 X 17 ,0,# 319,11 3/4 X 17 1/4,3
5 1/2 x 13  OE,17 1/2 X 22 1/2,1,# 319,11 3/4 X 17 1/4,3
5 1/2 x 13  OE,19 X 25,1,# 319,11 3/4 X 17 1/4,3
5 1/2 x 13  OE,23 X 29,2,# 319,11 3/4 X 17 1/4,3
5 1/2 x 13  OE,23 X 35,2,# 319,11 3/4 X 17 1/4,3
5 1/2 x 13  OE,25 X 38,4,# 319,11 3/4 X 17 1/4,3
5 1/2 x 13  OE,28 X 40,4,# 319,11 3/4 X 17 1/4,3
,,,,,
,,,,,
5 5/8 x 5 5/8  OE,11 5/8 X 8 1/4,1,# 252,11 1/8 X 7 3/4,1 1/4
5 5/8 x 5 5/8  OE,11 X 17 ,0,# 252,11 1/8 X 7 3/4,1 1/4
5 5/8 x 5 5/8  OE,17 1/2 X 22 1/2,2,# 252,11 1/8 X 7 3/4,1 1/4
5 5/8 x 5 5/8  OE,19 X 25,3,# 252,11 1/8 X 7 3/4,1 1/4
5 5/8 x 5 5/8  OE,23 X 29,3,# 252,11 1/8 X 7 3/4,1 1/4
5 5/8 x 5 5/8  OE,23 X 35,4,# 252,11 1/8 X 7 3/4,1 1/4
5 5/8 x 5 5/8  OE,25 X 38,8,# 252,11 1/8 X 7 3/4,1 1/4
5 5/8 x 5 5/8  OE,28 X 40,10,# 252,11 1/8 X 7 3/4,1 1/4
,,,,,
,,,,,
5 7/8 x 7 1/2  OE,14 7/8 X 10 15/16,1,# 278,14 3/8 X 10 7/16,1 13/16
5 7/8 x 7 1/2  OE,11 X 17 ,0,# 278,14 3/8 X 10 7/16,1 13/16
5 7/8 x 7 1/2  OE,17 1/2 X 22 1/2,2,# 278,14 3/8 X 10 7/16,1 13/16
5 7/8 x 7 1/2  OE,19 X 25,2,# 278,14 3/8 X 10 7/16,1 13/16
5 7/8 x 7 1/2  OE,23 X 29,2,# 278,14 3/8 X 10 7/16,1 13/16
5 7/8 x 7 1/2  OE,23 X 35,3,# 278,14 3/8 X 10 7/16,1 13/16
5 7/8 x 7 1/2  OE,25 X 38,3,# 278,14 3/8 X 10 7/16,1 13/16
5 7/8 x 7 1/2  OE,28 X 40,3,# 278,14 3/8 X 10 7/16,1 13/16
,,,,,
,,,,,
5 7/8 x 7 7/8  OE,12 13/16 X 11 1/4,1,# 227,12 5/16 X 10 3/4,2
5 7/8 x 7 7/8  OE,11 X 17 ,0,# 227,12 5/16 X 10 3/4,2
5 7/8 x 7 7/8  OE,17 1/2 X 22 1/2,2,# 227,12 5/16 X 10 3/4,2
5 7/8 x 7 7/8  OE,19 X 25,2,# 227,12 5/16 X 10 3/4,2
5 7/8 x 7 7/8  OE,23 X 29,2,# 227,12 5/16 X 10 3/4,2
5 7/8 x 7 7/8  OE,23 X 35,3,# 227,12 5/16 X 10 3/4,2
5 7/8 x 7 7/8  OE,25 X 38,3,# 227,12 5/16 X 10 3/4,2
5 7/8 x 7 7/8  OE,28 X 40,6,# 227,12 5/16 X 10 3/4,2
,,,,,
,,,,,
6 x 7  OE,11 X 12 1/4,1,# 280,10 1/2 X 11 3/4,3 3/4
6 x 7  OE,11 X 17 ,1,# 280,10 1/2 X 11 3/4,3 3/4
6 x 7  OE,17 1/2 X 22 1/2,1,# 280,10 1/2 X 11 3/4,3 3/4
6 x 7  OE,19 X 25,2,# 280,10 1/2 X 11 3/4,3 3/4
6 x 7  OE,23 X 29,4,# 280,10 1/2 X 11 3/4,3 3/4
6 x 7  OE,23 X 35,4,# 280,10 1/2 X 11 3/4,3 3/4
6 x 7  OE,25 X 38,6,# 280,10 1/2 X 11 3/4,3 3/4
6 x 7  OE,28 X 40,6,# 280,10 1/2 X 11 3/4,3 3/4
,,,,,
,,,,,
6 x 8 1/2  OE,13 1/8 X 9 7/8,1,# 275,12 5/8 X 9 3/8,0
6 x 8 1/2  OE,11 X 17 ,0,# 275,12 5/8 X 9 3/8,0
6 x 8 1/2  OE,17 1/2 X 22 1/2,2,# 275,12 5/8 X 9 3/8,0
6 x 8 1/2  OE,19 X 25,2,# 275,12 5/8 X 9 3/8,0
6 x 8 1/2  OE,23 X 29,3,# 275,12 5/8 X 9 3/8,0
6 x 8 1/2  OE,23 X 35,3,# 275,12 5/8 X 9 3/8,0
6 x 8 1/2  OE,25 X 38,4,# 275,12 5/8 X 9 3/8,0
6 x 8 1/2  OE,28 X 40,8,# 275,12 5/8 X 9 3/8,0
,,,,,
,,,,,
6 x 9  OE,13 1/4 X 12 9/16,1,# 260,12 3/4 X 12 1/16,2
6 x 9  OE,11 X 17 ,0,# 260,12 3/4 X 12 1/16,2
6 x 9  OE,17 1/2 X 22 1/2,1,# 260,12 3/4 X 12 1/16,2
6 x 9  OE,19 X 25,2,# 260,12 3/4 X 12 1/16,2
6 x 9  OE,23 X 29,2,# 260,12 3/4 X 12 1/16,2
6 x 9  OE,23 X 35,2,# 260,12 3/4 X 12 1/16,2
6 x 9  OE,25 X 38,3,# 260,12 3/4 X 12 1/16,2
6 x 9  OE,28 X 40,6,# 260,12 3/4 X 12 1/16,2
,,,,,
,,,,,
6 x 9  OE,13 3/8 X 13 1/4,1,# 308,12 7/8 X 12 3/4,2 3/4
6 x 9  OE,11 X 17 ,0,# 308,12 7/8 X 12 3/4,2 3/4
6 x 9  OE,17 1/2 X 22 1/2,1,# 308,12 7/8 X 12 3/4,2 3/4
6 x 9  OE,19 X 25,2,# 308,12 7/8 X 12 3/4,2 3/4
6 x 9  OE,23 X 29,2,# 308,12 7/8 X 12 3/4,2 3/4
6 x 9  OE,23 X 35,2,# 308,12 7/8 X 12 3/4,2 3/4
6 x 9  OE,25 X 38,2,# 308,12 7/8 X 12 3/4,2 3/4
6 x 9  OE,28 X 40,6,# 308,12 7/8 X 12 3/4,2 3/4
,,,,,
6 x 9  OE,12 15/16 X 10 1/2,1,# 276,12 7/16 X 10,0
6 x 9  OE,11 X 17 ,0,# 276,12 7/16 X 10,0
6 x 9  OE,17 1/2 X 22 1/2,2,# 276,12 7/16 X 10,0
6 x 9  OE,19 X 25,2,# 276,12 7/16 X 10,0
6 x 9  OE,23 X 29,2,# 276,12 7/16 X 10,0
6 x 9  OE,23 X 35,3,# 276,12 7/16 X 10,0
6 x 9  OE,25 X 38,3,# 276,12 7/16 X 10,0
6 x 9  OE,28 X 40,6,# 276,12 7/16 X 10,0
,,,,,
,,,,,
6 x 9 1/2  OE,9 3/8 X 22 7/8,1,# 146,8 7/8 X 22 3/8,6 3/8
6 x 9 1/2  OE,11 X 17 ,0,# 146,8 7/8 X 22 3/8,6 3/8
6 x 9 1/2  OE,17 1/2 X 22 1/2,0,# 146,8 7/8 X 22 3/8,6 3/8
6 x 9 1/2  OE,19 X 25,2,# 146,8 7/8 X 22 3/8,6 3/8
6 x 9 1/2  OE,23 X 29,2,# 146,8 7/8 X 22 3/8,6 3/8
6 x 9 1/2  OE,23 X 35,2,# 146,8 7/8 X 22 3/8,6 3/8
6 x 9 1/2  OE,25 X 38,2,# 146,8 7/8 X 22 3/8,6 3/8
6 x 9 1/2  OE,28 X 40,3,# 146,8 7/8 X 22 3/8,6 3/8
,,,,,
,,,,,
