die_size,sheet_size,number_out,die_number,seal_flap_size
,,,,
3 1/8 X 6 3/4  DIA,11 x 17,2,# 10 ,1 13/16
3 1/8 X 6 3/4  DIA,17 1/2 x 22 1/2,5,# 10 ,1 13/16
3 1/8 X 6 3/4  DIA,19 x 25,6,# 10 ,1 13/16
3 1/8 X 6 3/4  DIA,23 x 29,9,# 10 ,1 13/16
3 1/8 X 6 3/4  DIA,23 x 35,12,# 10 ,1 13/16
3 1/8 X 6 3/4  DIA,25 x 38,15,# 10 ,1 13/16
3 1/8 X 6 3/4  DIA,28 x 40,16,# 10 ,1 13/16
,,,,
,,,,
3 1/8 X 6 3/4  DIA - MON,11 x 17,2,# 277,2
3 1/8 X 6 3/4  DIA - MON,17 1/2 x 22 1/2,4,# 277,2
3 1/8 X 6 3/4  DIA - MON,19 x 25,5,# 277,2
3 1/8 X 6 3/4  DIA - MON,23 x 29,8,# 277,2
3 1/8 X 6 3/4  DIA - MON,23 x 35,9,# 277,2
3 1/8 X 6 3/4  DIA - MON,25 x 38,12,# 277,2
3 1/8 X 6 3/4  DIA - MON,28 x 40,15,# 277,2
,,,,
,,,,
3 3/8 X 6 1/4  DIA,11 x 17,2,# 156,1 3/8
3 3/8 X 6 1/4  DIA,17 1/2 x 22 1/2,4,# 156,1 3/8
3 3/8 X 6 1/4  DIA,19 x 25,3,# 156,1 3/8
3 3/8 X 6 1/4  DIA,23 x 29,8,# 156,1 3/8
3 3/8 X 6 1/4  DIA,23 x 35,10,# 156,1 3/8
3 3/8 X 6 1/4  DIA,25 x 38,13,# 156,1 3/8
3 3/8 X 6 1/4  DIA,28 x 40,15,# 156,1 3/8
,,,,
,,,,
3 3/8 X 7  DIA,11 x 17,2,# 274,1 3/8
3 3/8 X 7  DIA,17 1/2 x 22 1/2,3,# 274,1 3/8
3 3/8 X 7  DIA,19 x 25,6,# 274,1 3/8
3 3/8 X 7  DIA,23 x 29,8,# 274,1 3/8
3 3/8 X 7  DIA,23 x 35,10,# 274,1 3/8
3 3/8 X 7  DIA,25 x 38,13,# 274,1 3/8
3 3/8 X 7  DIA,28 x 40,15,# 274,1 3/8
,,,,
,,,,
3 3/8 X 7 3/16  DIA,11 x 17,2,# 265,1 1/2
3 3/8 X 7 3/16  DIA,17 1/2 x 22 1/2,3,# 265,1 1/2
3 3/8 X 7 3/16  DIA,19 x 25,6,# 265,1 1/2
3 3/8 X 7 3/16  DIA,23 x 29,8,# 265,1 1/2
3 3/8 X 7 3/16  DIA,23 x 35,10,# 265,1 1/2
3 3/8 X 7 3/16  DIA,25 x 38,2,# 265,1 1/2
3 3/8 X 7 3/16  DIA,28 x 40,15,# 265,1 1/2
,,,,
,,,,
3 3/8 X 7 1/2  DIA,11 x 17,2,# 162,1 5/8
3 3/8 X 7 1/2  DIA,17 1/2 x 22 1/2,4,# 162,1 5/8
3 3/8 X 7 1/2  DIA,19 x 25,5,# 162,1 5/8
3 3/8 X 7 1/2  DIA,23 x 29,6,# 162,1 5/8
3 3/8 X 7 1/2  DIA,23 x 35,9,# 162,1 5/8
3 3/8 X 7 1/2  DIA,25 x 38,11,# 162,1 5/8
3 3/8 X 7 1/2  DIA,28 x 40,13,# 162,1 5/8
,,,,
,,,,
3 3/8 X 7 9/16  DIA,11 x 17,2,# 261,1 9/16
3 3/8 X 7 9/16  DIA,17 1/2 x 22 1/2,4,# 261,1 9/16
3 3/8 X 7 9/16  DIA,19 x 25,5,# 261,1 9/16
3 3/8 X 7 9/16  DIA,23 x 29,6,# 261,1 9/16
3 3/8 X 7 9/16  DIA,23 x 35,9,# 261,1 9/16
3 3/8 X 7 9/16  DIA,25 x 38,11,# 261,1 9/16
3 3/8 X 7 9/16  DIA,28 x 40,13,# 261,1 9/16
,,,,
,,,,
3 3/8 X 7 5/8  DIA,11 x 17,2,# 166,1 3/8
3 3/8 X 7 5/8  DIA,17 1/2 x 22 1/2,4,# 166,1 3/8
3 3/8 X 7 5/8  DIA,19 x 25,5,# 166,1 3/8
3 3/8 X 7 5/8  DIA,23 x 29,6,# 166,1 3/8
3 3/8 X 7 5/8  DIA,23 x 35,9,# 166,1 3/8
3 3/8 X 7 5/8  DIA,25 x 38,11,# 166,1 3/8
3 3/8 X 7 5/8  DIA,28 x 40,13,# 166,1 3/8
,,,,
,,,,
3 3/8 X 7 5/8  DIA,11 x 17,2,# 177,1 7/16
3 3/8 X 7 5/8  DIA,17 1/2 x 22 1/2,4,# 177,1 7/16
3 3/8 X 7 5/8  DIA,19 x 25,5,# 177,1 7/16
3 3/8 X 7 5/8  DIA,23 x 29,6,# 177,1 7/16
3 3/8 X 7 5/8  DIA,23 x 35,9,# 177,1 7/16
3 3/8 X 7 5/8  DIA,25 x 38,11,# 177,1 7/16
3 3/8 X 7 5/8  DIA,28 x 40,13,# 177,1 7/16
,,,,
,,,,
3 3/8 X 7 3/4  DIA,11 x 17,2,# 267,1 1/2
3 3/8 X 7 3/4  DIA,17 1/2 x 22 1/2,4,# 267,1 1/2
3 3/8 X 7 3/4  DIA,19 x 25,5,# 267,1 1/2
3 3/8 X 7 3/4  DIA,23 x 29,6,# 267,1 1/2
3 3/8 X 7 3/4  DIA,23 x 35,9,# 267,1 1/2
3 3/8 X 7 3/4  DIA,25 x 38,11,# 267,1 1/2
3 3/8 X 7 3/4  DIA,28 x 40,13,# 267,1 1/2
,,,,
,,,,
3 1/2 X 4 3/4  DIA,11 x 17,2,# 76,2 3/16
3 1/2 X 4 3/4  DIA,17 1/2 x 22 1/2,6,# 76,2 3/16
3 1/2 X 4 3/4  DIA,19 x 25,7,# 76,2 3/16
3 1/2 X 4 3/4  DIA,23 x 29,12,# 76,2 3/16
3 1/2 X 4 3/4  DIA,23 x 35,15,# 76,2 3/16
3 1/2 X 4 3/4  DIA,25 x 38,16,# 76,2 3/16
3 1/2 X 4 3/4  DIA,28 x 40,24,# 76,2 3/16
,,,,
,,,,
3 1/2 X 5 5/8  DIA,11 x 17,2,# 276,1 3/8
3 1/2 X 5 5/8  DIA,17 1/2 x 22 1/2,6,# 276,1 3/8
3 1/2 X 5 5/8  DIA,19 x 25,7,# 276,1 3/8
3 1/2 X 5 5/8  DIA,23 x 29,10,# 276,1 3/8
3 1/2 X 5 5/8  DIA,23 x 35,13,# 276,1 3/8
3 1/2 X 5 5/8  DIA,25 x 38,15,# 276,1 3/8
3 1/2 X 5 5/8  DIA,28 x 40,18,# 276,1 3/8
,,,,
,,,,
#6 1/4 - 3 1/2 X 6 - DIA,11 x 17,2,# 1,1 7/16
#6 1/4 - 3 1/2 X 6 - DIA,17 1/2 x 22 1/2,6,# 1,1 7/16
#6 1/4 - 3 1/2 X 6 - DIA,19 x 25,7,# 1,1 7/16
#6 1/4 - 3 1/2 X 6 - DIA,23 x 29,10,# 1,1 7/16
#6 1/4 - 3 1/2 X 6 - DIA,23 x 35,13,# 1,1 7/16
#6 1/4 - 3 1/2 X 6 - DIA,25 x 38,15,# 1,1 7/16
#6 1/4 - 3 1/2 X 6 - DIA,28 x 40,18,# 1,1 7/16
,,,,
,,,,
#6 1/4 - 3 1/2 X 6 - DIA,11 x 17,2,# 9,1 1/2
#6 1/4 - 3 1/2 X 6 - DIA,17 1/2 x 22 1/2,4,# 9,1 1/2
#6 1/4 - 3 1/2 X 6 - DIA,19 x 25,7,# 9,1 1/2
#6 1/4 - 3 1/2 X 6 - DIA,23 x 29,10,# 9,1 1/2
#6 1/4 - 3 1/2 X 6 - DIA,23 x 35,12,# 9,1 1/2
#6 1/4 - 3 1/2 X 6 - DIA,25 x 38,14,# 9,1 1/2
#6 1/4 - 3 1/2 X 6 - DIA,28 x 40,16,# 9,1 1/2
,,,,
,,,,
3 1/2 X 6 1/2  DIA,11 x 17,2,# 173,1 1/2
3 1/2 X 6 1/2  DIA,17 1/2 x 22 1/2,5,# 173,1 1/2
3 1/2 X 6 1/2  DIA,19 x 25,6,# 173,1 1/2
3 1/2 X 6 1/2  DIA,23 x 29,7,# 173,1 1/2
3 1/2 X 6 1/2  DIA,23 x 35,12,# 173,1 1/2
3 1/2 X 6 1/2  DIA,25 x 38,13,# 173,1 1/2
3 1/2 X 6 1/2  DIA,28 x 40,16,# 173,1 1/2
,,,,
,,,,
3 1/2 X 6 3/4  DIA,11 x 17,2,# 153,1 1/2
3 1/2 X 6 3/4  DIA,17 1/2 x 22 1/2,5,# 153,1 1/2
3 1/2 X 6 3/4  DIA,19 x 25,6,# 153,1 1/2
3 1/2 X 6 3/4  DIA,23 x 29,7,# 153,1 1/2
3 1/2 X 6 3/4  DIA,23 x 35,11,# 153,1 1/2
3 1/2 X 6 3/4  DIA,25 x 38,14,# 153,1 1/2
3 1/2 X 6 3/4  DIA,28 x 40,16,# 153,1 1/2
,,,,
,,,,
3 1/2 X 7  DIA,11 x 17,2,# 161,1 9/16
3 1/2 X 7  DIA,17 1/2 x 22 1/2,5,# 161,1 9/16
3 1/2 X 7  DIA,19 x 25,6,# 161,1 9/16
3 1/2 X 7  DIA,23 x 29,7,# 161,1 9/16
3 1/2 X 7  DIA,23 x 35,10,# 161,1 9/16
3 1/2 X 7  DIA,25 x 38,12,# 161,1 9/16
3 1/2 X 7  DIA,28 x 40,15,# 161,1 9/16
,,,,
,,,,
3 1/2 X 7 1/4  DIA,11 x 17,2,# 163,1 3/4
3 1/2 X 7 1/4  DIA,17 1/2 x 22 1/2,4,# 163,1 3/4
3 1/2 X 7 1/4  DIA,19 x 25,6,# 163,1 3/4
3 1/2 X 7 1/4  DIA,23 x 29,7,# 163,1 3/4
3 1/2 X 7 1/4  DIA,23 x 35,10,# 163,1 3/4
3 1/2 X 7 1/4  DIA,25 x 38,12,# 163,1 3/4
3 1/2 X 7 1/4  DIA,28 x 40,15,# 163,1 3/4
,,,,
,,,,
3 1/2 X 7 1/2  DIA,11 x 17,2,# 2,1  11/16
3 1/2 X 7 1/2  DIA,17 1/2 x 22 1/2,4,# 2,1  11/16
3 1/2 X 7 1/2  DIA,19 x 25,5,# 2,1  11/16
3 1/2 X 7 1/2  DIA,23 x 29,8,# 2,1  11/16
3 1/2 X 7 1/2  DIA,23 x 35,9,# 2,1  11/16
3 1/2 X 7 1/2  DIA,25 x 38,12,# 2,1  11/16
3 1/2 X 7 1/2  DIA,28 x 40,14,# 2,1  11/16
,,,,
,,,,
3 1/2 X 7 1/2  DIA,11 x 17,2,# 264,1 9/16
3 1/2 X 7 1/2  DIA,17 1/2 x 22 1/2,4,# 264,1 9/16
3 1/2 X 7 1/2  DIA,19 x 25,5,# 264,1 9/16
3 1/2 X 7 1/2  DIA,23 x 29,8,# 264,1 9/16
3 1/2 X 7 1/2  DIA,23 x 35,9,# 264,1 9/16
3 1/2 X 7 1/2  DIA,25 x 38,12,# 264,1 9/16
3 1/2 X 7 1/2  DIA,28 x 40,14,# 264,1 9/16
,,,,
,,,,
3 1/2 X 7 5/8  DIA,11 x 17,2,# 2,1 5/8
3 1/2 X 7 5/8  DIA,17 1/2 x 22 1/2,4,# 2,1 5/8
3 1/2 X 7 5/8  DIA,19 x 25,5,# 2,1 5/8
3 1/2 X 7 5/8  DIA,23 x 29,7,# 2,1 5/8
3 1/2 X 7 5/8  DIA,23 x 35,9,# 2,1 5/8
3 1/2 X 7 5/8  DIA,25 x 38,11,# 2,1 5/8
3 1/2 X 7 5/8  DIA,28 x 40,13,# 2,1 5/8
,,,,
,,,,
3 1/2 X 7 5/8  DIA,11 x 17,2,# 165,1 3/8
3 1/2 X 7 5/8  DIA,17 1/2 x 22 1/2,4,# 165,1 3/8
3 1/2 X 7 5/8  DIA,19 x 25,5,# 165,1 3/8
3 1/2 X 7 5/8  DIA,23 x 29,7,# 165,1 3/8
3 1/2 X 7 5/8  DIA,23 x 35,9,# 165,1 3/8
3 1/2 X 7 5/8  DIA,25 x 38,11,# 165,1 3/8
3 1/2 X 7 5/8  DIA,28 x 40,13,# 165,1 3/8
,,,,
,,,,
3 1/2 X 7 3/4  DIA,11 x 17,2,# 167,1 1/2
3 1/2 X 7 3/4  DIA,17 1/2 x 22 1/2,4,# 167,1 1/2
3 1/2 X 7 3/4  DIA,19 x 25,5,# 167,1 1/2
3 1/2 X 7 3/4  DIA,23 x 29,7,# 167,1 1/2
3 1/2 X 7 3/4  DIA,23 x 35,9,# 167,1 1/2
3 1/2 X 7 3/4  DIA,25 x 38,11,# 167,1 1/2
3 1/2 X 7 3/4  DIA,28 x 40,13,# 167,1 1/2
,,,,
,,,,
3 1/2 X 8  DIA,11 x 17,2,# 171,1 9/16
3 1/2 X 8  DIA,17 1/2 x 22 1/2,4,# 171,1 9/16
3 1/2 X 8  DIA,19 x 25,5,# 171,1 9/16
3 1/2 X 8  DIA,23 x 29,7,# 171,1 9/16
3 1/2 X 8  DIA,23 x 35,9,# 171,1 9/16
3 1/2 X 8  DIA,25 x 38,10,# 171,1 9/16
3 1/2 X 8  DIA,28 x 40,13,# 171,1 9/16
,,,,
,,,,
3 1/2 X 8 7/8  DIA,11 x 17,2,# 19,1 3/4
3 1/2 X 8 7/8  DIA,17 1/2 x 22 1/2,4,# 19,1 3/4
3 1/2 X 8 7/8  DIA,19 x 25,4,# 19,1 3/4
3 1/2 X 8 7/8  DIA,23 x 29,6,# 19,1 3/4
3 1/2 X 8 7/8  DIA,23 x 35,8,# 19,1 3/4
3 1/2 X 8 7/8  DIA,25 x 38,9,# 19,1 3/4
3 1/2 X 8 7/8  DIA,28 x 40,12,# 19,1 3/4
,,,,
,,,,
3 9/16 X 6 1/4  DIA,11 x 17,2,# 260,1 5/8
3 9/16 X 6 1/4  DIA,17 1/2 x 22 1/2,5,# 260,1 5/8
3 9/16 X 6 1/4  DIA,19 x 25,6,# 260,1 5/8
3 9/16 X 6 1/4  DIA,23 x 29,10,# 260,1 5/8
3 9/16 X 6 1/4  DIA,23 x 35,11,# 260,1 5/8
3 9/16 X 6 1/4  DIA,25 x 38,13,# 260,1 5/8
3 9/16 X 6 1/4  DIA,28 x 40,16,# 260,1 5/8
,,,,
,,,,
3 9/16 X 6 1/4  DIA,11 x 17,2,# 256,1 1/2
3 9/16 X 6 1/4  DIA,17 1/2 x 22 1/2,5,# 256,1 1/2
3 9/16 X 6 1/4  DIA,19 x 25,6,# 256,1 1/2
3 9/16 X 6 1/4  DIA,23 x 29,10,# 256,1 1/2
3 9/16 X 6 1/4  DIA,23 x 35,11,# 256,1 1/2
3 9/16 X 6 1/4  DIA,25 x 38,13,# 256,1 1/2
3 9/16 X 6 1/4  DIA,28 x 40,16,# 256,1 1/2
,,,,
,,,,
3 9/16 X 6 1/4  DIA,11 x 17,2,# 262,1 1/2
3 9/16 X 6 1/4  DIA,17 1/2 x 22 1/2,5,# 262,1 1/2
3 9/16 X 6 1/4  DIA,19 x 25,6,# 262,1 1/2
3 9/16 X 6 1/4  DIA,23 x 29,10,# 262,1 1/2
3 9/16 X 6 1/4  DIA,23 x 35,11,# 262,1 1/2
3 9/16 X 6 1/4  DIA,25 x 38,13,# 262,1 1/2
3 9/16 X 6 1/4  DIA,28 x 40,16,# 262,1 1/2
,,,,
,,,,
3 9/16 X 6 1/4  DIA,11 x 17,2,# 263,1 1/2
3 9/16 X 6 1/4  DIA,17 1/2 x 22 1/2,5,# 263,1 1/2
3 9/16 X 6 1/4  DIA,19 x 25,6,# 263,1 1/2
3 9/16 X 6 1/4  DIA,23 x 29,10,# 263,1 1/2
3 9/16 X 6 1/4  DIA,23 x 35,11,# 263,1 1/2
3 9/16 X 6 1/4  DIA,25 x 38,13,# 263,1 1/2
3 9/16 X 6 1/4  DIA,28 x 40,16,# 263,1 1/2
,,,,
,,,,
3 5/8 X 5 1/8  DIA,11 x 17,2,# 115,2 1/16
3 5/8 X 5 1/8  DIA,17 1/2 x 22 1/2,5,# 115,2 1/16
3 5/8 X 5 1/8  DIA,19 x 25,6,# 115,2 1/16
3 5/8 X 5 1/8  DIA,23 x 29,10,# 115,2 1/16
3 5/8 X 5 1/8  DIA,23 x 35,15,# 115,2 1/16
3 5/8 X 5 1/8  DIA,25 x 38,15,# 115,2 1/16
3 5/8 X 5 1/8  DIA,28 x 40,20,# 115,2 1/16
,,,,
,,,,
3 5/8 X 6 1/4  DIA,11 x 17,2,# 154,1 1/2
3 5/8 X 6 1/4  DIA,17 1/2 x 22 1/2,5,# 154,1 1/2
3 5/8 X 6 1/4  DIA,19 x 25,6,# 154,1 1/2
3 5/8 X 6 1/4  DIA,23 x 29,10,# 154,1 1/2
3 5/8 X 6 1/4  DIA,23 x 35,12,# 154,1 1/2
3 5/8 X 6 1/4  DIA,25 x 38,15,# 154,1 1/2
3 5/8 X 6 1/4  DIA,28 x 40,16,# 154,1 1/2
,,,,
,,,,
#6 3/4 - 3 5/8 X 6 1/2  DIA,11 x 17,2,# 3,1 1/2
#6 3/4 - 3 5/8 X 6 1/2  DIA,17 1/2 x 22 1/2,5,# 3,1 1/2
#6 3/4 - 3 5/8 X 6 1/2  DIA,19 x 25,6,# 3,1 1/2
#6 3/4 - 3 5/8 X 6 1/2  DIA,23 x 29,9,# 3,1 1/2
#6 3/4 - 3 5/8 X 6 1/2  DIA,23 x 35,11,# 3,1 1/2
#6 3/4 - 3 5/8 X 6 1/2  DIA,25 x 38,13,# 3,1 1/2
#6 3/4 - 3 5/8 X 6 1/2  DIA,28 x 40,16,# 3,1 1/2
,,,,
,,,,
#6 3/4 - 3 5/8 X 6 1/2  DIA,11 x 17,2,# 165,1 5/8
#6 3/4 - 3 5/8 X 6 1/2  DIA,17 1/2 x 22 1/2,5,# 165,1 5/8
#6 3/4 - 3 5/8 X 6 1/2  DIA,19 x 25,6,# 165,1 5/8
#6 3/4 - 3 5/8 X 6 1/2  DIA,23 x 29,9,# 165,1 5/8
#6 3/4 - 3 5/8 X 6 1/2  DIA,23 x 35,11,# 165,1 5/8
#6 3/4 - 3 5/8 X 6 1/2  DIA,25 x 38,13,# 165,1 5/8
#6 3/4 - 3 5/8 X 6 1/2  DIA,28 x 40,16,# 165,1 5/8
,,,,
,,,,
#6 3/4 - 3 5/8 X 6 1/2  DIA,11 x 17,2,# 166,1 1/2
#6 3/4 - 3 5/8 X 6 1/2  DIA,17 1/2 x 22 1/2,5,# 166,1 1/2
#6 3/4 - 3 5/8 X 6 1/2  DIA,19 x 25,6,# 166,1 1/2
#6 3/4 - 3 5/8 X 6 1/2  DIA,23 x 29,9,# 166,1 1/2
#6 3/4 - 3 5/8 X 6 1/2  DIA,23 x 35,11,# 166,1 1/2
#6 3/4 - 3 5/8 X 6 1/2  DIA,25 x 38,13,# 166,1 1/2
#6 3/4 - 3 5/8 X 6 1/2  DIA,28 x 40,16,# 166,1 1/2
,,,,
,,,,
#6 3/4 - 3 5/8 X 6 1/2  DIA,11 x 17,2,# 174,1 9/16
#6 3/4 - 3 5/8 X 6 1/2  DIA,17 1/2 x 22 1/2,5,# 174,1 9/16
#6 3/4 - 3 5/8 X 6 1/2  DIA,19 x 25,6,# 174,1 9/16
#6 3/4 - 3 5/8 X 6 1/2  DIA,23 x 29,9,# 174,1 9/16
#6 3/4 - 3 5/8 X 6 1/2  DIA,23 x 35,11,# 174,1 9/16
#6 3/4 - 3 5/8 X 6 1/2  DIA,25 x 38,13,# 174,1 9/16
#6 3/4 - 3 5/8 X 6 1/2  DIA,28 x 40,15,# 174,1 9/16
,,,,
,,,,
#6 3/4 - 3 5/8 X 6 1/2  DIA,11 x 17,2,# 255,1 3/8
#6 3/4 - 3 5/8 X 6 1/2  DIA,17 1/2 x 22 1/2,5,# 255,1 3/8
#6 3/4 - 3 5/8 X 6 1/2  DIA,19 x 25,6,# 255,1 3/8
#6 3/4 - 3 5/8 X 6 1/2  DIA,23 x 29,9,# 255,1 3/8
#6 3/4 - 3 5/8 X 6 1/2  DIA,23 x 35,11,# 255,1 3/8
#6 3/4 - 3 5/8 X 6 1/2  DIA,25 x 38,12,# 255,1 3/8
#6 3/4 - 3 5/8 X 6 1/2  DIA,28 x 40,15,# 255,1 3/8
,,,,
,,,,
#6 3/4 - 3 5/8 X 6 1/2  DIA,11 x 17,2,# 252,1 1/4
#6 3/4 - 3 5/8 X 6 1/2  DIA,17 1/2 x 22 1/2,5,# 252,1 1/4
#6 3/4 - 3 5/8 X 6 1/2  DIA,19 x 25,6,# 252,1 1/4
#6 3/4 - 3 5/8 X 6 1/2  DIA,23 x 29,9,# 252,1 1/4
#6 3/4 - 3 5/8 X 6 1/2  DIA,23 x 35,11,# 252,1 1/4
#6 3/4 - 3 5/8 X 6 1/2  DIA,25 x 38,12,# 252,1 1/4
#6 3/4 - 3 5/8 X 6 1/2  DIA,28 x 40,15,# 252,1 1/4
,,,,
,,,,
3 5/8 X 7  DIA,11 x 17,2,# 4,1 5/8
3 5/8 X 7  DIA,17 1/2 x 22 1/2,4,# 4,1 5/8
3 5/8 X 7  DIA,19 x 25,6,# 4,1 5/8
3 5/8 X 7  DIA,23 x 29,8,# 4,1 5/8
3 5/8 X 7  DIA,23 x 35,10,# 4,1 5/8
3 5/8 X 7  DIA,25 x 38,12,# 4,1 5/8
3 5/8 X 7  DIA,28 x 40,15,# 4,1 5/8
,,,,
,,,,
3 5/8 X 7  DIA,11 x 17,2,# 346,2 3/16
3 5/8 X 7  DIA,17 1/2 x 22 1/2,4,# 346,2 3/16
3 5/8 X 7  DIA,19 x 25,4,# 346,2 3/16
3 5/8 X 7  DIA,23 x 29,6,# 346,2 3/16
3 5/8 X 7  DIA,23 x 35,8,# 346,2 3/16
3 5/8 X 7  DIA,25 x 38,12,# 346,2 3/16
3 5/8 X 7  DIA,28 x 40,12,# 346,2 3/16
,,,,
,,,,
3 5/8 X 7 1/4  DIA,11 x 17,2,# 39,1 1/2
3 5/8 X 7 1/4  DIA,17 1/2 x 22 1/2,4,# 39,1 1/2
3 5/8 X 7 1/4  DIA,19 x 25,5,# 39,1 1/2
3 5/8 X 7 1/4  DIA,23 x 29,8,# 39,1 1/2
3 5/8 X 7 1/4  DIA,23 x 35,9,# 39,1 1/2
3 5/8 X 7 1/4  DIA,25 x 38,11,# 39,1 1/2
3 5/8 X 7 1/4  DIA,28 x 40,12,# 39,1 1/2
,,,,
,,,,
3 5/8 X 7 1/2  DIA,11 x 17,2,# 268,1 5/8
3 5/8 X 7 1/2  DIA,17 1/2 x 22 1/2,4,# 268,1 5/8
3 5/8 X 7 1/2  DIA,19 x 25,5,# 268,1 5/8
3 5/8 X 7 1/2  DIA,23 x 29,7,# 268,1 5/8
3 5/8 X 7 1/2  DIA,23 x 35,9,# 268,1 5/8
3 5/8 X 7 1/2  DIA,25 x 38,11,# 268,1 5/8
3 5/8 X 7 1/2  DIA,28 x 40,12,# 268,1 5/8
,,,,
,,,,
