die_size,sheet_size,number_out,die_number,seal_flap_size
4 5/32 x 8 3/4   DIA,25 x 38,9,# 262,1 5/8
4 5/32 x 8 3/4   DIA,28 x 40,10,# 262,1 5/8
,,,,
,,,,
4 3/16 x 7 11/16   DIA,11 x 17,2,# 99,1 1/2
4 3/16 x 7 11/16   DIA,17 1/2 x 22 1/2,4,# 99,1 1/2
4 3/16 x 7 11/16   DIA,19 x 25,4,# 99,1 1/2
4 3/16 x 7 11/16   DIA,23 x 29,7,# 99,1 1/2
4 3/16 x 7 11/16   DIA,23 x 35,8,# 99,1 1/2
4 3/16 x 7 11/16   DIA,25 x 38,9,# 99,1 1/2
4 3/16 x 7 11/16   DIA,28 x 40,10,# 99,1 1/2
,,,,
,,,,
4 1/4 x 6 3/4   DIA,11 x 17,2,# 8,2
4 1/4 x 6 3/4   DIA,17 1/2 x 22 1/2,4,# 8,2
4 1/4 x 6 3/4   DIA,19 x 25,4,# 8,2
4 1/4 x 6 3/4   DIA,23 x 29,7,# 8,2
4 1/4 x 6 3/4   DIA,23 x 35,8,# 8,2
4 1/4 x 6 3/4   DIA,25 x 38,10,# 8,2
4 1/4 x 6 3/4   DIA,28 x 40,12,# 8,2
,,,,
,,,,
4 1/4 x 7 3/4   DIA,11 x 17,1,# 8,2
4 1/4 x 7 3/4   DIA,17 1/2 x 22 1/2,4,# 8,2
4 1/4 x 7 3/4   DIA,19 x 25,4,# 8,2
4 1/4 x 7 3/4   DIA,23 x 29,6,# 8,2
4 1/4 x 7 3/4   DIA,23 x 35,7,# 8,2
4 1/4 x 7 3/4   DIA,25 x 38,9,# 8,2
4 1/4 x 7 3/4   DIA,28 x 40,11,# 8,2
,,,,
,,,,
4 1/4 x 8 1/8   DIA,11 x 17,1,# 287,2 3/8
4 1/4 x 8 1/8   DIA,17 1/2 x 22 1/2,4,# 287,2 3/8
4 1/4 x 8 1/8   DIA,19 x 25,4,# 287,2 3/8
4 1/4 x 8 1/8   DIA,23 x 29,6,# 287,2 3/8
4 1/4 x 8 1/8   DIA,23 x 35,7,# 287,2 3/8
4 1/4 x 8 1/8   DIA,25 x 38,9,# 287,2 3/8
4 1/4 x 8 1/8   DIA,28 x 40,11,# 287,2 3/8
,,,,
,,,,
4 1/4 x 8 3/4   MON,11 x 17,1,# 348,2 9/16
4 1/4 x 8 3/4   MON,17 1/2 x 22 1/2,2,# 348,2 9/16
4 1/4 x 8 3/4   MON,19 x 25,3,# 348,2 9/16
4 1/4 x 8 3/4   MON,23 x 29,5,# 348,2 9/16
4 1/4 x 8 3/4   MON,23 x 35,6,# 348,2 9/16
4 1/4 x 8 3/4   MON,25 x 38,7,# 348,2 9/16
4 1/4 x 8 3/4   MON,28 x 40,8,# 348,2 9/16
,,,,
,,,,
4 1/4 x 8 7/8   DIA,11 x 17,1,# 149,1 1/2
4 1/4 x 8 7/8   DIA,17 1/2 x 22 1/2,3,# 149,1 1/2
4 1/4 x 8 7/8   DIA,19 x 25,4,# 149,1 1/2
4 1/4 x 8 7/8   DIA,23 x 29,6,# 149,1 1/2
4 1/4 x 8 7/8   DIA,23 x 35,7,# 149,1 1/2
4 1/4 x 8 7/8   DIA,25 x 38,8,# 149,1 1/2
4 1/4 x 8 7/8   DIA,28 x 40,10,# 149,1 1/2
,,,,
,,,,
4 1/4 x 9 3/4   DIA,11 x 17,0,# 280,2
4 1/4 x 9 3/4   DIA,17 1/2 x 22 1/2,2,# 280,2
4 1/4 x 9 3/4   DIA,19 x 25,4,# 280,2
4 1/4 x 9 3/4   DIA,23 x 29,5,# 280,2
4 1/4 x 9 3/4   DIA,23 x 35,6,# 280,2
4 1/4 x 9 3/4   DIA,25 x 38,7,# 280,2
4 1/4 x 9 3/4   DIA,28 x 40,8,# 280,2
,,,,
,,,,
4 5/16 x 7 3/4   DIA,11 x 17,0,# 286,1 5/8
4 5/16 x 7 3/4   DIA,17 1/2 x 22 1/2,4,# 286,1 5/8
4 5/16 x 7 3/4   DIA,19 x 25,4,# 286,1 5/8
4 5/16 x 7 3/4   DIA,23 x 29,6,# 286,1 5/8
4 5/16 x 7 3/4   DIA,23 x 35,8,# 286,1 5/8
4 5/16 x 7 3/4   DIA,25 x 38,9,# 286,1 5/8
4 5/16 x 7 3/4   DIA,28 x 40,11,# 286,1 5/8
,,,,
,,,,
#5 1/2 - 4 3/8 x 5 3/4   BAR,11 x 17,2,# 49,2  11/16
#5 1/2 - 4 3/8 x 5 3/4   BAR,17 1/2 x 22 1/2,4,# 49,2  11/16
#5 1/2 - 4 3/8 x 5 3/4   BAR,19 x 25,6,# 49,2  11/16
#5 1/2 - 4 3/8 x 5 3/4   BAR,23 x 29,7,# 49,2  11/16
#5 1/2 - 4 3/8 x 5 3/4   BAR,23 x 35,9,# 49,2  11/16
#5 1/2 - 4 3/8 x 5 3/4   BAR,25 x 38,12,# 49,2  11/16
#5 1/2 - 4 3/8 x 5 3/4   BAR,28 x 40,15,# 49,2  11/16
,,,,
,,,,
#5 1/2 - 4 3/8 x 5 3/4   BAR,11 x 17,2,# 187,3 1/4
#5 1/2 - 4 3/8 x 5 3/4   BAR,17 1/2 x 22 1/2,4,# 187,3 1/4
#5 1/2 - 4 3/8 x 5 3/4   BAR,19 x 25,6,# 187,3 1/4
#5 1/2 - 4 3/8 x 5 3/4   BAR,23 x 29,6,# 187,3 1/4
#5 1/2 - 4 3/8 x 5 3/4   BAR,23 x 35,8,# 187,3 1/4
#5 1/2 - 4 3/8 x 5 3/4   BAR,25 x 38,11,# 187,3 1/4
#5 1/2 - 4 3/8 x 5 3/4   BAR,28 x 40,14,# 187,3 1/4
,,,,
,,,,
#5 1/2 - 4 3/8 x 5 3/4   BAR,11 x 17,2,# 343,2 7/16
#5 1/2 - 4 3/8 x 5 3/4   BAR,17 1/2 x 22 1/2,4,# 343,2 7/16
#5 1/2 - 4 3/8 x 5 3/4   BAR,19 x 25,5,# 343,2 7/16
#5 1/2 - 4 3/8 x 5 3/4   BAR,23 x 29,6,# 343,2 7/16
#5 1/2 - 4 3/8 x 5 3/4   BAR,23 x 35,8,# 343,2 7/16
#5 1/2 - 4 3/8 x 5 3/4   BAR,25 x 38,11,# 343,2 7/16
#5 1/2 - 4 3/8 x 5 3/4   BAR,28 x 40,13,# 343,2 7/16
,,,,
,,,,
4 3/8 x 5 3/4   DIA,11 x 17,2,# 271,1  13/16
4 3/8 x 5 3/4   DIA,17 1/2 x 22 1/2,4,# 271,1  13/16
4 3/8 x 5 3/4   DIA,19 x 25,6,# 271,1  13/16
4 3/8 x 5 3/4   DIA,23 x 29,6,# 271,1  13/16
4 3/8 x 5 3/4   DIA,23 x 35,8,# 271,1  13/16
4 3/8 x 5 3/4   DIA,25 x 38,11,# 271,1  13/16
4 3/8 x 5 3/4   DIA,28 x 40,13,# 271,1  13/16
,,,,
,,,,
4 3/8 x 7   DIA,11 x 17,1,# 159,2
4 3/8 x 7   DIA,17 1/2 x 22 1/2,4,# 159,2
4 3/8 x 7   DIA,19 x 25,4,# 159,2
4 3/8 x 7   DIA,23 x 29,6,# 159,2
4 3/8 x 7   DIA,23 x 35,8,# 159,2
4 3/8 x 7   DIA,25 x 38,9,# 159,2
4 3/8 x 7   DIA,28 x 40,11,# 159,2
,,,,
,,,,
4 3/8 x 8 3/8   DIA,11 x 17,1,# 190,2
4 3/8 x 8 3/8   DIA,17 1/2 x 22 1/2,2,# 190,2
4 3/8 x 8 3/8   DIA,19 x 25,3,# 190,2
4 3/8 x 8 3/8   DIA,23 x 29,4,# 190,2
4 3/8 x 8 3/8   DIA,23 x 35,6,# 190,2
4 3/8 x 8 3/8   DIA,25 x 38,7,# 190,2
4 3/8 x 8 3/8   DIA,28 x 40,8,# 190,2
,,,,
,,,,
4 1/2 x 6    DIA,11 x 17,2,# 273,2 1/8
4 1/2 x 6    DIA,17 1/2 x 22 1/2,4,# 273,2 1/8
4 1/2 x 6    DIA,19 x 25,4,# 273,2 1/8
4 1/2 x 6    DIA,23 x 29,6,# 273,2 1/8
4 1/2 x 6    DIA,23 x 35,8,# 273,2 1/8
4 1/2 x 6    DIA,25 x 38,9,# 273,2 1/8
4 1/2 x 6    DIA,28 x 40,12,# 273,2 1/8
,,,,
,,,,
4 1/2 x 6 3/8   DIA,11 x 17,2,# 168,2 11/16
4 1/2 x 6 3/8   DIA,17 1/2 x 22 1/2,4,# 168,2 11/16
4 1/2 x 6 3/8   DIA,19 x 25,4,# 168,2 11/16
4 1/2 x 6 3/8   DIA,23 x 29,6,# 168,2 11/16
4 1/2 x 6 3/8   DIA,23 x 35,8,# 168,2 11/16
4 1/2 x 6 3/8   DIA,25 x 38,9,# 168,2 11/16
4 1/2 x 6 3/8   DIA,28 x 40,12,# 168,2 11/16
,,,,
,,,,
4 1/2 x 6 1/2    DIA,11 x 17,2,# 160,2 1/2
4 1/2 x 6 1/2    DIA,17 1/2 x 22 1/2,4,# 160,2 1/2
4 1/2 x 6 1/2    DIA,19 x 25,4,# 160,2 1/2
4 1/2 x 6 1/2    DIA,23 x 29,6,# 160,2 1/2
4 1/2 x 6 1/2    DIA,23 x 35,8,# 160,2 1/2
4 1/2 x 6 1/2    DIA,25 x 38,9,# 160,2 1/2
4 1/2 x 6 1/2    DIA,28 x 40,12,# 160,2 1/2
,,,,
,,,,
4 1/2 x 7 1/4    DIA,11 x 17,1,# 5,2 3/16
4 1/2 x 7 1/4    DIA,17 1/2 x 22 1/2,4,# 5,2 3/16
4 1/2 x 7 1/4    DIA,19 x 25,4,# 5,2 3/16
4 1/2 x 7 1/4    DIA,23 x 29,6,# 5,2 3/16
4 1/2 x 7 1/4    DIA,23 x 35,8,# 5,2 3/16
4 1/2 x 7 1/4    DIA,25 x 38,9,# 5,2 3/16
4 1/2 x 7 1/4    DIA,28 x 40,12,# 5,2 3/16
,,,,
,,,,
4 1/2 x 8    DIA,11 x 17,0,# 281,2 3/8
4 1/2 x 8    DIA,17 1/2 x 22 1/2,3,# 281,2 3/8
4 1/2 x 8    DIA,19 x 25,4,# 281,2 3/8
4 1/2 x 8    DIA,23 x 29,5,# 281,2 3/8
4 1/2 x 8    DIA,23 x 35,6,# 281,2 3/8
4 1/2 x 8    DIA,25 x 38,8,# 281,2 3/8
4 1/2 x 8    DIA,28 x 40,9,# 281,2 3/8
,,,,
,,,,
4 1/2 x 8 3/4   DIA,11 x 17,1,# 35,2 1/8
4 1/2 x 8 3/4   DIA,17 1/2 x 22 1/2,2,# 35,2 1/8
4 1/2 x 8 3/4   DIA,19 x 25,4,# 35,2 1/8
4 1/2 x 8 3/4   DIA,23 x 29,5,# 35,2 1/8
4 1/2 x 8 3/4   DIA,23 x 35,6,# 35,2 1/8
4 1/2 x 8 3/4   DIA,25 x 38,8,# 35,2 1/8
4 1/2 x 8 3/4   DIA,28 x 40,8,# 35,2 1/8
,,,,
,,,,
4 1/2 x 9 1/2   DIA,11 x 17,1,# 149,2  11/16
4 1/2 x 9 1/2   DIA,17 1/2 x 22 1/2,2,# 149,2  11/16
4 1/2 x 9 1/2   DIA,19 x 25,3,# 149,2  11/16
4 1/2 x 9 1/2   DIA,23 x 29,5,# 149,2  11/16
4 1/2 x 9 1/2   DIA,23 x 35,6,# 149,2  11/16
4 1/2 x 9 1/2   DIA,25 x 38,7,# 149,2  11/16
4 1/2 x 9 1/2   DIA,28 x 40,8,# 149,2  11/16
,,,,
,,,,
4 1/2 x 9 1/2   DIA,11 x 17,1,# 41,1  15/16
4 1/2 x 9 1/2   DIA,17 1/2 x 22 1/2,2,# 41,1  15/16
4 1/2 x 9 1/2   DIA,19 x 25,3,# 41,1  15/16
4 1/2 x 9 1/2   DIA,23 x 29,4,# 41,1  15/16
4 1/2 x 9 1/2   DIA,23 x 35,6,# 41,1  15/16
4 1/2 x 9 1/2   DIA,25 x 38,7,# 41,1  15/16
4 1/2 x 9 1/2   DIA,28 x 40,8,# 41,1  15/16
,,,,
,,,,
4 1/2 x 9 1/2   DIA,11 x 17,1,# 182,2
4 1/2 x 9 1/2   DIA,17 1/2 x 22 1/2,2,# 182,2
4 1/2 x 9 1/2   DIA,19 x 25,3,# 182,2
4 1/2 x 9 1/2   DIA,23 x 29,4,# 182,2
4 1/2 x 9 1/2   DIA,23 x 35,6,# 182,2
4 1/2 x 9 1/2   DIA,25 x 38,7,# 182,2
4 1/2 x 9 1/2   DIA,28 x 40,8,# 182,2
,,,,
,,,,
#11 - 4 1/2 x 10 3/8   DIA ,11 x 17,0,# 50,2
#11 - 4 1/2 x 10 3/8   DIA ,17 1/2 x 22 1/2,2,# 50,2
#11 - 4 1/2 x 10 3/8   DIA ,19 x 25,3,# 50,2
#11 - 4 1/2 x 10 3/8   DIA ,23 x 29,4,# 50,2
#11 - 4 1/2 x 10 3/8   DIA ,23 x 35,6,# 50,2
#11 - 4 1/2 x 10 3/8   DIA ,25 x 38,7,# 50,2
#11 - 4 1/2 x 10 3/8   DIA ,28 x 40,8,# 50,2
,,,,
,,,,
#11 - 4 1/2 x 10 3/8   DIA ,11 x 17,0,# 179,2
#11 - 4 1/2 x 10 3/8   DIA ,17 1/2 x 22 1/2,2,# 179,2
#11 - 4 1/2 x 10 3/8   DIA ,19 x 25,3,# 179,2
#11 - 4 1/2 x 10 3/8   DIA ,23 x 29,4,# 179,2
#11 - 4 1/2 x 10 3/8   DIA ,23 x 35,5,# 179,2
#11 - 4 1/2 x 10 3/8   DIA ,25 x 38,6,# 179,2
#11 - 4 1/2 x 10 3/8   DIA ,28 x 40,8,# 179,2
,,,,
,,,,
#11 - 4 1/2 x 10 3/8   DIA ,11 x 17,0,# 180,3
#11 - 4 1/2 x 10 3/8   DIA ,17 1/2 x 22 1/2,2,# 180,3
#11 - 4 1/2 x 10 3/8   DIA ,19 x 25,2,# 180,3
#11 - 4 1/2 x 10 3/8   DIA ,23 x 29,4,# 180,3
#11 - 4 1/2 x 10 3/8   DIA ,23 x 35,5,# 180,3
#11 - 4 1/2 x 10 3/8   DIA ,25 x 38,6,# 180,3
#11 - 4 1/2 x 10 3/8   DIA ,28 x 40,7,# 180,3
,,,,
,,,,
#11 - 4 1/2 x 10 3/8   DIA ,11 x 17,0,# 294,1 3/4
#11 - 4 1/2 x 10 3/8   DIA ,17 1/2 x 22 1/2,2,# 294,1 3/4
#11 - 4 1/2 x 10 3/8   DIA ,19 x 25,3,# 294,1 3/4
#11 - 4 1/2 x 10 3/8   DIA ,23 x 29,4,# 294,1 3/4
#11 - 4 1/2 x 10 3/8   DIA ,23 x 35,5,# 294,1 3/4
#11 - 4 1/2 x 10 3/8   DIA ,25 x 38,6,# 294,1 3/4
#11 - 4 1/2 x 10 3/8   DIA ,28 x 40,8,# 294,1 3/4
,,,,
,,,,
#11 - 4 1/2 x 10 3/8   DIA ,11 x 17,0,# 284,2
#11 - 4 1/2 x 10 3/8   DIA ,17 1/2 x 22 1/2,2,# 284,2
#11 - 4 1/2 x 10 3/8   DIA ,19 x 25,3,# 284,2
#11 - 4 1/2 x 10 3/8   DIA ,23 x 29,4,# 284,2
#11 - 4 1/2 x 10 3/8   DIA ,23 x 35,5,# 284,2
#11 - 4 1/2 x 10 3/8   DIA ,25 x 38,6,# 284,2
#11 - 4 1/2 x 10 3/8   DIA ,28 x 40,8,# 284,2
,,,,
,,,,
4 5/8 x 6 1/4    DIA,11 x 17,2,# 51,2 1/8
4 5/8 x 6 1/4    DIA,17 1/2 x 22 1/2,4,# 51,2 1/8
4 5/8 x 6 1/4    DIA,19 x 25,5,# 51,2 1/8
4 5/8 x 6 1/4    DIA,23 x 29,7,# 51,2 1/8
4 5/8 x 6 1/4    DIA,23 x 35,8,# 51,2 1/8
4 5/8 x 6 1/4    DIA,25 x 38,10,# 51,2 1/8
4 5/8 x 6 1/4    DIA,28 x 40,12,# 51,2 1/8
,,,,
,,,,
4 5/8 x 6 1/4    DIA,11 x 17,2,# 167,2 3/16
4 5/8 x 6 1/4    DIA,17 1/2 x 22 1/2,4,# 167,2 3/16
4 5/8 x 6 1/4    DIA,19 x 25,5,# 167,2 3/16
4 5/8 x 6 1/4    DIA,23 x 29,6,# 167,2 3/16
4 5/8 x 6 1/4    DIA,23 x 35,8,# 167,2 3/16
4 5/8 x 6 1/4    DIA,25 x 38,10,# 167,2 3/16
4 5/8 x 6 1/4    DIA,28 x 40,12,# 167,2 3/16
,,,,
,,,,
4 5/8 x 6 1/4    DIA,11 x 17,2,# 152,2 1/8
4 5/8 x 6 1/4    DIA,17 1/2 x 22 1/2,4,# 152,2 1/8
4 5/8 x 6 1/4    DIA,19 x 25,5,# 152,2 1/8
4 5/8 x 6 1/4    DIA,23 x 29,6,# 152,2 1/8
4 5/8 x 6 1/4    DIA,23 x 35,8,# 152,2 1/8
4 5/8 x 6 1/4    DIA,25 x 38,10,# 152,2 1/8
4 5/8 x 6 1/4    DIA,28 x 40,12,# 152,2 1/8
,,,,
,,,,
4 5/8 x 6 9/16    DIA,11 x 17,2,# 189,2 3/4
4 5/8 x 6 9/16    DIA,17 1/2 x 22 1/2,4,# 189,2 3/4
4 5/8 x 6 9/16    DIA,19 x 25,4,# 189,2 3/4
4 5/8 x 6 9/16    DIA,23 x 29,6,# 189,2 3/4
4 5/8 x 6 9/16    DIA,23 x 35,8,# 189,2 3/4
4 5/8 x 6 9/16    DIA,25 x 38,8,# 189,2 3/4
4 5/8 x 6 9/16    DIA,28 x 40,12,# 189,2 3/4
,,,,
,,,,
4 5/8 x 6 11/16    DIA,11 x 17,2,# 272,1  11/16
4 5/8 x 6 11/16    DIA,17 1/2 x 22 1/2,4,# 272,1  11/16
4 5/8 x 6 11/16    DIA,19 x 25,5,# 272,1  11/16
4 5/8 x 6 11/16    DIA,23 x 29,6,# 272,1  11/16
4 5/8 x 6 11/16    DIA,23 x 35,8,# 272,1  11/16
4 5/8 x 6 11/16    DIA,25 x 38,8,# 272,1  11/16
4 5/8 x 6 11/16    DIA,28 x 40,12,# 272,1  11/16
,,,,
,,,,
4 5/8 x 11 1/2   DIA,11 x 17,0,# 270,2
4 5/8 x 11 1/2   DIA,17 1/2 x 22 1/2,2,# 270,2
4 5/8 x 11 1/2   DIA,19 x 25,2,# 270,2
4 5/8 x 11 1/2   DIA,23 x 29,4,# 270,2
4 5/8 x 11 1/2   DIA,23 x 35,4,# 270,2
4 5/8 x 11 1/2   DIA,25 x 38,5,# 270,2
4 5/8 x 11 1/2   DIA,28 x 40,7,# 270,2
,,,,
,,,,
4 3/4 x 6 1/2   DIA,11 x 17,2,# 214,2
4 3/4 x 6 1/2   DIA,17 1/2 x 22 1/2,4,# 214,2
4 3/4 x 6 1/2   DIA,19 x 25,4,# 214,2
4 3/4 x 6 1/2   DIA,23 x 29,7,# 214,2
4 3/4 x 6 1/2   DIA,23 x 35,8,# 214,2
4 3/4 x 6 1/2   DIA,25 x 38,10,# 214,2
4 3/4 x 6 1/2   DIA,28 x 40,12,# 214,2
,,,,
,,,,
4 3/4 x 9 1/2   DIA,11 x 17,0,# 120 - N,2
4 3/4 x 9 1/2   DIA,17 1/2 x 22 1/2,2,# 120 - N,2
4 3/4 x 9 1/2   DIA,19 x 25,2,# 120 - N,2
4 3/4 x 9 1/2   DIA,23 x 29,4,# 120 - N,2
4 3/4 x 9 1/2   DIA,23 x 35,5,# 120 - N,2
4 3/4 x 9 1/2   DIA,25 x 38,6,# 120 - N,2
4 3/4 x 9 1/2   DIA,28 x 40,6,# 120 - N,2
,,,,
,,,,
#12 - 4 3/4 x 11   DIA,11 x 17,0,# 52,1  13/16
#12 - 4 3/4 x 11   DIA,17 1/2 x 22 1/2,2,# 52,1  13/16
#12 - 4 3/4 x 11   DIA,19 x 25,2,# 52,1  13/16
#12 - 4 3/4 x 11   DIA,23 x 29,4,# 52,1  13/16
#12 - 4 3/4 x 11   DIA,23 x 35,5,# 52,1  13/16
#12 - 4 3/4 x 11   DIA,25 x 38,6,# 52,1  13/16
#12 - 4 3/4 x 11   DIA,28 x 40,6,# 52,1  13/16
,,,,
,,,,
#12 - 4 3/4 x 11   DIA,11 x 17,0,# 185,2 7/8
#12 - 4 3/4 x 11   DIA,17 1/2 x 22 1/2,2,# 185,2 7/8
#12 - 4 3/4 x 11   DIA,19 x 25,2,# 185,2 7/8
#12 - 4 3/4 x 11   DIA,23 x 29,4,# 185,2 7/8
#12 - 4 3/4 x 11   DIA,23 x 35,4,# 185,2 7/8
#12 - 4 3/4 x 11   DIA,25 x 38,6,# 185,2 7/8
#12 - 4 3/4 x 11   DIA,28 x 40,6,# 185,2 7/8
,,,,
,,,,
#12 - 4 3/4 x 11   DIA,11 x 17,0,# 45,2 3/16
#12 - 4 3/4 x 11   DIA,17 1/2 x 22 1/2,2,# 45,2 3/16
#12 - 4 3/4 x 11   DIA,19 x 25,2,# 45,2 3/16
#12 - 4 3/4 x 11   DIA,23 x 29,4,# 45,2 3/16
#12 - 4 3/4 x 11   DIA,23 x 35,4,# 45,2 3/16
#12 - 4 3/4 x 11   DIA,25 x 38,6,# 45,2 3/16
#12 - 4 3/4 x 11   DIA,28 x 40,6,# 45,2 3/16
,,,,
,,,,
#12 - 4 3/4 x 11   DIA,11 x 17,0,# 192,2 1/4
#12 - 4 3/4 x 11   DIA,17 1/2 x 22 1/2,2,# 192,2 1/4
#12 - 4 3/4 x 11   DIA,19 x 25,2,# 192,2 1/4
#12 - 4 3/4 x 11   DIA,23 x 29,4,# 192,2 1/4
#12 - 4 3/4 x 11   DIA,23 x 35,4,# 192,2 1/4
#12 - 4 3/4 x 11   DIA,25 x 38,6,# 192,2 1/4
#12 - 4 3/4 x 11   DIA,28 x 40,6,# 192,2 1/4
,,,,
,,,,
4 25/32 x 6 9/16   DIA,11 x 17,2,# 190,2 3/4
4 25/32 x 6 9/16   DIA,17 1/2 x 22 1/2,4,# 190,2 3/4
4 25/32 x 6 9/16   DIA,19 x 25,4,# 190,2 3/4
